Date,Open,High,Low,Close,Volume
2025-03-03,180.00,181.62,179.50,181.58,35624751
2025-03-04,181.58,185.21,179.96,183.97,26085718
2025-03-05,183.97,184.02,183.38,183.78,55374870
2025-03-06,183.78,184.14,179.15,180.32,58145903
2025-03-07,180.32,181.39,177.06,178.51,20454913
2025-03-10,178.51,182.67,177.90,181.41,30883564
2025-03-11,181.41,186.22,181.24,185.59,26770146
2025-03-12,185.59,190.10,184.10,188.96,71081225
2025-03-13,188.96,191.59,188.24,189.74,58642844
2025-03-14,189.74,194.22,188.11,193.03,60414650
2025-03-17,193.03,195.38,192.59,195.29,40257157
2025-03-18,195.29,195.74,191.89,192.08,39458152
2025-03-19,192.08,194.44,191.37,193.74,34665492
2025-03-20,193.74,195.55,190.94,192.19,62639170
2025-03-21,192.19,193.59,189.51,189.82,46561880
2025-03-24,189.82,195.73,188.77,194.48,67922997
2025-03-25,194.48,199.50,194.04,197.97,22247017
2025-03-26,197.97,198.50,196.40,196.82,86003680
2025-03-27,196.82,201.28,195.53,200.64,47694233
2025-03-28,200.64,205.83,200.11,204.89,37263925
2025-03-31,204.89,206.51,203.69,205.97,82847601
2025-04-01,205.97,206.42,203.50,205.55,55666840
2025-04-02,205.55,205.65,202.06,202.28,63921222
2025-04-03,202.28,206.31,202.15,205.44,46713350
2025-04-04,205.44,211.66,203.45,210.54,80254579
2025-04-07,210.54,212.06,205.03,206.44,57587923
2025-04-08,206.44,207.76,204.56,204.79,50433567
2025-04-09,204.79,206.83,203.00,204.88,38437233
2025-04-10,204.88,205.76,203.01,205.39,80936299
2025-04-11,205.39,206.71,202.80,204.05,30698748
2025-04-14,204.05,208.08,202.46,206.97,57124757
2025-04-15,206.97,207.64,202.79,202.83,85036903
2025-04-16,202.83,208.52,202.21,206.80,24054761
2025-04-17,206.80,212.83,206.62,210.83,54019332
2025-04-18,210.83,212.43,205.68,207.27,28987402
2025-04-21,207.27,208.70,206.72,207.56,81070312
2025-04-22,207.56,208.00,206.24,207.36,71095174
2025-04-23,207.36,208.01,203.05,205.09,65491464
2025-04-24,205.09,206.15,204.78,205.03,35728813
2025-04-25,205.03,206.24,203.58,204.05,35415216
2025-04-28,204.05,205.34,200.16,200.62,83379400
2025-04-29,200.62,204.51,200.14,204.37,66828444
2025-04-30,204.37,204.64,200.36,202.25,59973016
2025-05-01,202.25,204.10,200.62,202.51,33328694
2025-05-02,202.51,203.38,198.50,199.34,52691726
2025-05-05,199.34,203.25,197.38,201.89,26889250
2025-05-06,201.89,202.58,199.78,201.51,37405943
2025-05-07,201.51,202.42,198.37,199.21,39498160
2025-05-08,199.21,201.05,196.59,197.46,80294437
2025-05-09,197.46,198.50,195.49,198.40,78521930
2025-05-12,198.40,204.97,196.72,203.09,31641777
2025-05-13,203.09,203.90,202.27,203.46,24104477
2025-05-14,203.46,205.47,202.33,202.86,74884942
2025-05-15,202.86,203.82,200.92,202.96,89679588
2025-05-16,202.96,205.44,202.65,203.98,40769547
2025-05-19,203.98,210.00,202.87,208.79,72358289
2025-05-20,208.79,210.01,204.12,205.15,79690392
2025-05-21,205.15,207.12,202.34,202.50,33007747
2025-05-22,202.50,205.25,202.03,203.87,28392062
2025-05-23,203.87,208.48,202.66,207.96,63356705
2025-05-26,207.96,209.18,206.64,207.73,85429438
2025-05-27,207.73,209.22,204.99,205.48,47705009
2025-05-28,205.48,208.21,204.83,207.58,72630514
2025-05-29,207.58,208.54,202.07,204.11,89726751
2025-05-30,204.11,204.55,200.17,200.70,85328156
2025-06-02,200.70,206.44,199.96,204.64,31042278
2025-06-03,204.64,209.69,203.39,208.23,89106314
2025-06-04,208.23,210.21,206.53,210.19,40956512
2025-06-05,210.19,214.26,209.91,212.26,28080006
2025-06-06,212.26,213.44,208.47,209.04,62338087
2025-06-09,209.04,212.04,207.71,211.61,38478873
2025-06-10,211.61,213.95,209.82,212.03,26460892
2025-06-11,212.03,212.62,211.82,211.83,73978345
2025-06-12,211.83,214.23,210.26,213.67,58617629
2025-06-13,213.67,213.69,213.34,213.51,81817447
2025-06-16,213.51,219.11,211.72,217.92,60775669
2025-06-17,217.92,218.20,214.35,215.01,82928704
2025-06-18,215.01,220.30,213.08,218.42,34705357
2025-06-19,218.42,218.64,214.81,216.50,81889429
2025-06-20,216.50,217.84,215.80,216.13,85091671
2025-06-23,216.13,222.37,214.38,220.22,81699134
2025-06-24,220.22,221.84,215.34,216.06,85157112
2025-06-25,216.06,221.43,214.31,219.54,38676399
2025-06-26,219.54,223.16,217.62,222.92,80101527
2025-06-27,222.92,224.74,219.68,220.70,41363360
2025-06-30,220.70,224.69,220.64,224.18,33519085
2025-07-01,224.18,226.12,220.85,223.01,39538749
2025-07-02,223.01,225.89,220.82,224.99,57535101
2025-07-03,224.99,230.26,222.80,230.00,32499747
2025-07-04,230.00,235.98,229.75,235.36,50419463
2025-07-07,235.36,239.12,233.93,238.37,55799614
2025-07-08,238.37,239.74,237.13,237.73,69614969
2025-07-09,237.73,239.93,231.74,233.00,70360099
2025-07-10,233.00,237.70,232.15,236.11,24898166
2025-07-11,236.11,239.24,235.37,238.45,79361069
2025-07-14,238.45,242.13,237.71,241.40,48587503
2025-07-15,241.40,242.12,240.64,240.95,49431243
2025-07-16,240.95,247.99,238.77,246.32,63086044
2025-07-17,246.32,247.67,244.73,244.73,40083960
2025-07-18,244.73,246.15,242.97,244.57,52549173
2025-07-21,244.57,245.10,243.39,244.55,83082657
2025-07-22,244.55,248.84,244.34,248.42,56081640
2025-07-23,248.42,251.36,246.38,250.52,72579669
2025-07-24,250.52,253.67,250.03,253.10,21709777
2025-07-25,253.10,254.30,248.69,250.83,25097976
2025-07-28,250.83,252.41,250.00,250.49,68744797
2025-07-29,250.49,251.66,248.84,251.05,20388137
2025-07-30,251.05,256.47,250.78,254.51,49760233
2025-07-31,254.51,256.95,250.13,251.44,23515286
2025-08-01,251.44,253.57,248.09,249.23,76099162
2025-08-04,249.23,254.22,247.74,251.73,86502772
2025-08-05,251.73,258.37,249.92,256.79,55334471
2025-08-06,256.79,262.69,254.49,261.26,72055880
2025-08-07,261.26,262.29,260.61,261.61,64636300
2025-08-08,261.61,266.78,259.97,265.39,39221821
2025-08-11,265.39,266.15,260.30,261.01,42379669
2025-08-12,261.01,262.50,260.41,262.14,68576486
2025-08-13,262.14,265.40,261.07,265.23,57982779
2025-08-14,265.23,265.77,263.77,264.88,83338693
2025-08-15,264.88,268.40,262.61,266.55,73591620
