Date,Open,High,Low,Close,Volume
2025-03-03,400.00,400.02,397.44,398.85,72743258
2025-03-04,398.85,410.06,397.18,406.19,72326096
2025-03-05,406.19,410.51,405.29,408.05,35359514
2025-03-06,408.05,408.16,406.52,407.89,67539931
2025-03-07,407.89,408.56,405.25,407.15,28933945
2025-03-10,407.15,410.52,405.55,410.41,59507438
2025-03-11,410.41,413.05,402.16,402.70,52318891
2025-03-12,402.70,404.23,394.72,395.56,42879206
2025-03-13,395.56,402.72,392.58,401.20,78234699
2025-03-14,401.20,401.53,397.65,397.73,57759333
2025-03-17,397.73,409.10,395.14,407.67,74686313
2025-03-18,407.67,414.58,403.80,411.47,33955247
2025-03-19,411.47,412.10,403.11,403.62,66862119
2025-03-20,403.62,406.68,400.80,405.79,73682866
2025-03-21,405.79,408.26,397.74,400.74,28017300
2025-03-24,400.74,411.43,400.31,407.50,21797489
2025-03-25,407.50,410.26,401.19,405.07,47765810
2025-03-26,405.07,410.31,402.27,410.00,63906967
2025-03-27,410.00,413.17,400.25,403.68,62028813
2025-03-28,403.68,407.65,394.69,397.81,44304263
2025-03-31,397.81,399.28,395.51,397.52,43886182
2025-04-01,397.52,408.10,397.10,404.77,87255129
2025-04-02,404.77,411.63,401.90,408.25,50484100
2025-04-03,408.25,417.56,407.15,413.56,76573945
2025-04-04,413.56,417.32,411.76,415.31,71171835
2025-04-07,415.31,418.85,408.60,412.02,26066402
2025-04-08,412.02,421.15,410.10,420.12,62723219
2025-04-09,420.12,420.25,415.32,418.89,32728790
2025-04-10,418.89,422.23,413.10,414.51,81622398
2025-04-11,414.51,420.46,414.47,419.30,86364380
2025-04-14,419.30,422.32,410.51,412.53,73071525
2025-04-15,412.53,419.79,410.50,417.10,75505300
2025-04-16,417.10,418.02,407.66,410.50,41434422
2025-04-17,410.50,414.99,408.32,413.03,49785266
2025-04-18,413.03,420.02,410.13,418.64,38964149
2025-04-21,418.64,419.14,414.20,415.00,28368831
2025-04-22,415.00,419.88,414.23,416.71,35146924
2025-04-23,416.71,420.48,412.64,417.45,56724580
2025-04-24,417.45,417.87,413.62,414.42,35923821
2025-04-25,414.42,414.48,407.29,409.48,39201792
2025-04-28,409.48,421.56,406.62,419.24,28839564
2025-04-29,419.24,429.34,415.58,427.24,60184495
2025-04-30,427.24,429.60,426.45,427.72,23596370
2025-05-01,427.72,439.37,424.20,437.28,48049520
2025-05-02,437.28,440.03,429.76,429.99,30443830
2025-05-05,429.99,433.60,425.72,432.28,28291609
2025-05-06,432.28,441.17,428.86,438.51,35798099
2025-05-07,438.51,442.03,436.57,440.05,80211666
