Date,Open,High,Low,Close,Volume
2025-03-03,500.00,508.08,495.89,505.13,85820432
2025-03-04,505.13,506.31,497.36,497.49,81896439
2025-03-05,497.49,504.68,496.39,500.11,24425192
2025-03-06,500.11,513.27,498.60,508.64,48580709
2025-03-07,508.64,513.46,500.14,501.67,54483723
2025-03-10,501.67,506.12,493.16,493.83,51755062
2025-03-11,493.83,502.56,489.16,498.86,49338872
2025-03-12,498.86,506.32,496.79,505.54,26931514
2025-03-13,505.54,508.63,500.73,506.56,22290140
2025-03-14,506.56,508.81,500.08,504.88,79881513
2025-03-17,504.88,508.34,494.33,497.04,88448977
2025-03-18,497.04,499.02,494.18,495.12,28551180
2025-03-19,495.12,506.40,491.84,504.11,64919312
2025-03-20,504.11,507.68,500.14,507.58,37049822
2025-03-21,507.58,510.44,499.96,500.30,73561016
2025-03-24,500.30,501.38,490.65,494.96,42999168
2025-03-25,494.96,499.41,488.33,488.34,80088428
2025-03-26,488.34,488.98,480.55,481.76,32214798
2025-03-27,481.76,486.58,481.69,486.45,75298926
2025-03-28,486.45,488.03,481.09,481.93,23667931
2025-03-31,481.93,490.95,478.34,488.38,53337217
2025-04-01,488.38,498.26,487.85,495.71,55268708
2025-04-02,495.71,507.11,491.83,506.89,80688663
2025-04-03,506.89,510.97,502.00,508.64,24257778
2025-04-04,508.64,511.48,505.15,509.43,54318819
2025-04-07,509.43,520.48,509.02,520.10,62580819
2025-04-08,520.10,521.53,508.00,511.23,58384950
2025-04-09,511.23,516.32,505.79,508.49,51760079
2025-04-10,508.49,512.68,504.92,512.17,79695491
2025-04-11,512.17,520.91,508.48,516.93,35051614
2025-04-14,516.93,518.28,515.18,517.10,51744923
2025-04-15,517.10,517.59,514.23,516.44,66557550
2025-04-16,516.44,517.22,510.05,514.81,24699331
2025-04-17,514.81,524.27,514.31,523.78,71715719
2025-04-18,523.78,535.40,520.71,532.44,59311048
2025-04-21,532.44,533.09,527.81,529.69,66573836
